dataset_id,dataset_name,provider,url,status,manual_download_required,expected_format,local_path,notes
lgd_national,LGD All Villages Nationwide,Ministry of Panchayati Raj,https://lgdirectory.gov.in/,MANUAL_REQUIRED,TRUE,CSV/Excel,"data_real/admin/raw/lgd_national_villages.csv","Bulk export requires OTP/login. OTP via Aadhaar or mobile. Reports → Download → Village with Panchayat."
lgd_datagov_snapshot,LGD Village Snapshot (data.gov.in),data.gov.in,https://data.gov.in/resource/all-villages-lgd,NOT_STARTED,FALSE,CSV (API paginated),"data_real/admin/raw/lgd_datagov_snapshot.csv","Open API; 5000 rows/page; ~130 pages for full dataset. Run: python real_pipeline/admin/ingest_lgd.py --source datagov --pages 130"
gadm41_gpkg,GADM India Admin Boundaries v4.1,UC Davis / GADM,https://geodata.ucdavis.edu/gadm/gadm4.1/gpkg/gadm41_IND.gpkg,MANUAL_REQUIRED,TRUE,GeoPackage (~220 MB),"data_real/admin/raw/gadm41_IND.gpkg","Research/non-commercial use only. Direct download, no login. wget or browser download."
datameet_districts,Datameet Census 2011 District Boundaries,Datameet community,https://github.com/datameet/maps,MANUAL_REQUIRED,TRUE,Shapefile,"data_real/admin/raw/datameet_districts/","Community-curated from Census of India data. Clone or download ZIP from GitHub."
soi_boundaries,Survey of India Administrative Boundaries,Survey of India,https://nsdi.gov.in/,MANUAL_REQUIRED,TRUE,Shapefile/GeoPackage (unknown),"data_real/admin/raw/soi_districts.gpkg","Authoritative GoI source. Formal request or purchase. NSDI portal registration required."
copernicus_glo30,Copernicus GLO-30 DEM 30m,ESA / Copernicus,s3://copernicus-dem-30m/,NOT_STARTED,FALSE,GeoTIFF per 1x1 degree tile,"data_real/terrain/raw/<tile>_glo30.tif","Public AWS S3, no auth. Run: python real_pipeline/terrain/ingest_dem_pilot.py --pilot uttarakhand --source copernicus_glo30"
srtm_30m,SRTM 1 Arc-Second Global 30m,USGS / NASA,https://earthexplorer.usgs.gov/,MANUAL_REQUIRED,TRUE,HGT files,"data_real/terrain/raw/<N__E__>.hgt","Free but requires USGS EarthExplorer account (urs.earthdata.nasa.gov). Download tiles individually."
alos_aw3d30,ALOS World 3D DEM 30m,JAXA,https://www.eorc.jaxa.jp/ALOS/en/aw3d30/,MANUAL_REQUIRED,TRUE,GeoTIFF per 5x5 degree tile,"data_real/terrain/raw/aw3d30/","Good quality alternative to SRTM. Free registration required at JAXA portal."
imd_gridded_rainfall,IMD Daily Gridded Rainfall 0.25deg,India Meteorological Department,https://www.imd.gov.in/pages/rainfall_main.php,MANUAL_REQUIRED,TRUE,NetCDF / binary,"data_real/rainfall/imd/","Formal request or IMD Pune portal access. Some products at https://imdpune.gov.in/"
gpm_imerg_final,GPM IMERG Final Run 30-min 0.1deg,NASA / JAXA,https://gpm.nasa.gov/data/imerg,MANUAL_REQUIRED,TRUE,HDF5 / NetCDF,"data_real/rainfall/imerg/","Free NASA Earthdata account. Large volumes — download event windows only not full history."
cwc_river_levels,CWC River Level and Discharge Data,Central Water Commission,https://cwc.gov.in/,MANUAL_REQUIRED,TRUE,Unknown (portal download),"data_real/rivers/cwc/","~950 stations. Historical bulk requires formal CWC request. Real-time at india-water.gov.in"
hydrobasins_asia,HydroBASINS Asia Sub-basin Boundaries,WWF / HydroSHEDS,https://www.hydrosheds.org/products/hydrobasins,MANUAL_REQUIRED,TRUE,Shapefile,"data_real/hydrology/catchments/hydrobasins/","Free registration. Level 7-12 for India watershed delineation. ~50-200 MB per level."
era5_land_soilmoisture,ERA5-Land Hourly Soil Moisture,ECMWF / Copernicus CDS,https://cds.climate.copernicus.eu/,MANUAL_REQUIRED,TRUE,NetCDF (grib),"data_real/soil_moisture/era5_land/","Free CDS account + cdsapi Python client. Large volumes. Download seasonal/event windows."
smap_l3_soilmoisture,SMAP L3 Daily Global Soil Moisture 36km,NASA JPL,https://search.earthdata.nasa.gov/,MANUAL_REQUIRED,TRUE,HDF5,"data_real/soil_moisture/smap/","Free NASA Earthdata account. 36km too coarse for village level — useful for catchment-scale."
worldcover_2021,ESA WorldCover 2021 10m Land Cover,ESA / Sinergise,https://esa-worldcover.org/,NOT_STARTED,FALSE,GeoTIFF tiles,"data_real/landcover/worldcover/","Public AWS S3 (s3://esa-worldcover/). No auth. Download India tiles only."
ndma_events,NDMA Disaster Event Records,NDMA / NIDM,https://ndma.gov.in/,MANUAL_REQUIRED,TRUE,Unknown,"data_real/events/flood/","Partial open data. Detailed district-level records may require formal request."
isro_flood_maps,ISRO Bhuvan Satellite Flood Mapping,ISRO / NRSC,https://bhuvan.nrsc.gov.in/,MANUAL_REQUIRED,TRUE,Shapefile / Raster,"data_real/events/flood/","Bhuvan portal. Some products open; detailed archives require registration."
gsi_landslide_inventory,GSI National Landslide Susceptibility / Inventory,Geological Survey of India,https://www.gsi.gov.in/,MANUAL_REQUIRED,TRUE,Shapefile,"data_real/events/landslide/","Some open data. Contact GSI for detailed inventory shapefiles."
